,meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
1584,0.560749969,0.664723416,0.720147614,0.251382892,0.787799109,0.621222607,0.076903488,0.01366008,0.87739418,0.796897589,0.178307313,0.560749969,0.711131144,0.06817278,0.98152577,0.089885837,0.092473118,0.033595425,0.031831187,0.364539985,0
1585,0.677615301,0.510015882,0.757898948,0.709216389,0.794374097,0.151560965,0.082702345,0.01361103,0.706021518,0.582118848,0.178642715,0.677615301,0.571342941,0.046000937,0.929285441,0.085141862,0.109677419,0.03645461,0.034334764,0.28875831,0
1586,0.757663682,0.450010653,0.800731806,0.745365128,0.836099694,0.154446105,0.069457708,0.009830265,0.681259366,0.481866064,0.178432894,0.757663682,0.554177832,0.033036271,0.929285441,0.08225242,0.109677419,0.040743388,0.038626609,0.353421118,0
1587,0.736289751,0.55436676,0.773953963,0.729941959,0.924019813,0.255759782,0.065076585,0.006113011,0.692284567,0.604586067,0.690839695,0.736289751,0.697881823,0.077953904,0.98152577,0.088722136,0.109677419,0.031808435,0.029685265,0.316093434,0
1588,0.798737684,0.404364283,0.83618067,0.769325496,0.897143456,0.188741735,0.045282899,0.002755131,0.579515955,0.3804581,0.179161372,0.798737684,0.584814475,0.036187945,0.904449874,0.085758426,0.109677419,0.036812009,0.034692418,0.269791269,0
1589,0.609473671,0.54670409,0.711594726,0.640039523,0.753486533,0.183830139,0.083236006,0.01202465,0.667245496,0.564267201,0.178832117,0.609473671,0.619418064,0.031708075,0.954962891,0.08316045,0.109677419,0.041458184,0.039341917,0.437369729,0
1590,0.664045332,0.615013402,0.772436444,0.513346268,0.856448108,0.415427797,0.075843052,0.008224349,0.775738903,0.674141187,0.862683438,0.664045332,0.585999974,0.036370042,0.98152577,0.067636623,0.109677419,0.024660472,0.022532189,0.332314325,0
1591,0.779912659,0.518067227,0.81938855,0.776959518,0.921077547,0.204018776,0.051376986,0.004182398,0.650383307,0.462381467,0.178807947,0.779912659,0.590493913,0.03591623,0.98152577,0.066846171,0.092473118,0.034310222,0.032546495,0.252417978,0
1592,0.750512581,0.457176525,0.801859915,0.742340031,0.839620259,0.16100623,0.058828546,0.005887217,0.671602967,0.512488995,0.178791615,0.750512581,0.589503318,0.035556588,0.954962891,0.118456692,0.109677419,0.042172981,0.040057225,0.284549005,0
1593,0.684200012,0.52806833,0.774715696,0.727929008,0.799984832,0.137546324,0.076301779,0.008021662,0.702524464,0.607981955,0.178935447,0.684200012,0.484722429,0.030819231,0.954962891,0.072941955,0.109677419,0.04610436,0.043991416,0.221406159,0
1594,0.71982774,0.203543036,0.750777933,0.686377741,0.741910529,0.124421282,0.067470336,0.005988403,0.620646627,0.277539695,0.745136959,0.71982774,0.631880593,0.118776484,0.98152577,0.281776048,0.006451613,0.319513939,0.319742489,0.206844647,0
1595,0.725540554,0.207076734,0.77387513,0.689976188,0.739017407,0.117873591,0.101421948,0.012977095,0.554408712,0.29855518,0.752282652,0.725540554,0.559275672,0.031140209,0.812749322,0.216896628,0.006451613,0.271979986,0.272174535,0.110048338,0
1596,0.715557493,0.256989534,0.727280292,0.639120159,0.758289568,0.189444714,0.042401518,0.002414035,0.709914484,0.33819756,0.689655172,0.715557493,0.587615194,0.254670317,0.954962891,0.219819024,0.316129032,0.311651179,0.305436338,0.09533354,0
1597,0.685307634,0.277672267,0.66991477,0.628324205,0.730183367,0.173408644,0.045004875,0.002972412,0.715096353,0.373230391,0.559891107,0.685307634,0.555345749,0.0470255,0.880415455,0.267843743,0.006451613,0.271979986,0.272174535,0.225386512,0
1598,0.704294942,0.277477474,0.682037477,0.633568889,0.768465264,0.205086538,0.044113857,0.003278188,0.730041371,0.353331655,0.58207016,0.704294942,0.543822788,0.031220851,0.857144034,0.150532888,0.298924731,0.119013581,0.113018598,0.108489503,0
1599,0.746659154,0.240944403,0.730174268,0.70399849,0.78464622,0.147550897,0.054714031,0.004608787,0.657230972,0.289174387,0.634615385,0.746659154,0.719742684,0.034582866,0.98152577,0.111474489,0.006451613,0.030021444,0.030042918,0.299717272,0
1600,0.573858417,0.719852373,0.775920103,0.244633195,0.81319727,0.652875387,0.043131317,0.002757198,0.809557511,0.660194535,0.829482948,0.573858417,0.783395568,0.267623065,0.98152577,0.248598543,0.006451613,0.181200858,0.181330472,0.314445862,0
1601,0.514973769,0.634164536,0.643584566,0.316420801,0.685741939,0.454609203,0.04556517,0.002977697,0.894559387,0.851989231,0,0.514973769,0.577483069,0.031301653,0.880415455,0.347384683,0.006451613,0.234453181,0.234620887,0.271594975,0
1602,0.330313262,0.694779447,0.236199308,0.119267906,0.651924917,0.626801297,0.044704391,0.002773807,0.822068274,0.725933806,0.077473182,0.330313262,0.656930348,0.135990969,0.71286122,0.412326197,0.058064516,0.271979986,0.271101574,0.249596892,0
1603,0.5059872,0.721670785,0.634286816,0.213352458,0.779577152,0.652790497,0.028140528,0.001471355,0.927244026,0.881230411,0.597785978,0.5059872,0.77061257,0.235609172,0.98152577,0.136995646,0.006451613,0.135811294,0.135908441,0.117198861,0
1604,0.337003183,0.714002609,0.309244234,0.119755361,0.659389047,0.633534215,0.045695673,0.003592133,0.920626794,0.881445163,0.031558185,0.337003183,0.733816801,0.03203614,0.904449874,0.228109737,0.006451613,0.224446033,0.224606581,0.121338797,0
1605,0.553410235,0.707996801,0.654261219,0.271537085,0.813453474,0.625150182,0.033760595,0.002278168,0.896184801,0.818835788,0.604872881,0.553410235,0.673913286,0.164129877,0.98152577,0.121983201,0.006451613,0.041458184,0.04148784,0.337477384,0
1606,0.573202138,0.744996853,0.713368371,0.248958144,0.86883283,0.702341597,0.030062947,0.001444386,0.901851849,0.853144277,0.929292929,0.573202138,0.758616397,0.244832307,0.880415455,0.154090006,0.040860215,0.033595425,0.032904149,0.264635333,0
1607,0.372322598,0.510115486,0.381562614,0.258259836,0.56838511,0.401253857,0,0.000108002,0.968889301,0.900159454,0.128284389,0.372322598,0.756867399,0.083802982,0.834599844,0.123554643,0.023655914,0.041100786,0.040772532,0.335272806,0
1608,0.393570585,0.689842234,0.538518558,0.128690439,0.677488247,0.641798972,0.038794156,0.002080252,0.831620782,0.724009093,0.691134414,0.393570585,0.7230906,0.11843,0.771005041,0.204346664,0.023655914,0.172265904,0.172031474,0.204273896,0
1609,0.587166663,0.695375033,0.693716676,0.342938613,0.830423606,0.567369417,0.042177718,0.003480353,0.933016111,0.908022337,0.787313433,0.587166663,0.740718514,0.304623664,0.954962891,0.243654822,0.075268817,0.160829164,0.159513591,0.356909094,0
1610,0.350750646,0.620002811,0.292246481,0.18325198,0.614502836,0.523975771,0.01945176,0.000710723,0.888377782,0.776354959,0.637191157,0.350750646,0.576371346,0.035556588,0.75105373,0.277327616,0.023655914,0.200500357,0.200286123,0.298039827,0
1611,0.517750552,0.672897026,0.69673405,0.26113637,0.747401944,0.571898474,0.066340804,0.007286321,0.895169675,0.845527672,0.762825904,0.517750552,0.723641188,0.211101985,0.98152577,0.203698195,0.006451613,0.155468192,0.155579399,0.219661494,0
1612,0.589166365,0.641568563,0.753059548,0.386368635,0.792741765,0.485663312,0.048578528,0.003095334,0.789267609,0.700207982,0.728139905,0.589166365,0.732880343,0.160290835,0.857144034,0.055857627,0.023655914,0.025375268,0.025035765,0.370789242,0
1613,0.339672431,0.687059681,0.285295558,0.128699265,0.651161875,0.616254801,0.042151102,0.002653974,0.880267016,0.808788868,0.052093973,0.339672431,0.735891638,0.110520406,0.929285441,0.260604723,0.006451613,0.21336669,0.213519313,0.08064442,0
1614,0.299508883,0.755489123,0.25353597,0.062547326,0.691013089,0.723690508,0.089079687,0.009872579,0.814330836,0.790423827,0.026221692,0.299508883,0.770736533,0.491429807,0.812749322,0.264563417,0.006451613,0.159756969,0.159871245,0.159559961,0
1615,0.732941788,0.56104984,0.823955864,0.763943295,0.854164891,0.152651339,0.219333642,0.090552172,0.615084889,0.411084,0.17877095,0.732941788,0.613013242,0.03537789,0.98152577,0.049041469,0.109677419,0.032523231,0.030400572,0.245149912,0
1616,0.743376949,0.481348101,0.794667546,0.767105056,0.846088968,0.141530695,0.268930473,0.120095053,0.57282184,0.367764227,0.178979436,0.743376949,0.59488679,0.032616612,0.954962891,0.050320018,0.109677419,0.035739814,0.033619456,0.180602462,0
1617,0.662674647,0.485677894,0.75205972,0.701520407,0.76930741,0.135249799,0.290391316,0.132789625,0.558010228,0.433678053,0.178979436,0.662674647,0.416359969,0.035556588,0.929285441,0.027808431,0.109677419,0.018227305,0.016094421,0.141642171,0
1618,0.579272794,0.612037071,0.713563471,0.313425406,0.761740241,0.531437478,0.173723644,0.054639596,0.795965914,0.737344453,0.178791615,0.579272794,0.485030676,0.035467146,0.98152577,0.059228346,0.109677419,0.034310222,0.032188841,0.262174211,0
1619,0.712369731,0.453969804,0.806324874,0.727573562,0.789107862,0.1273659,0.157489168,0.042931097,0.505831484,0.373779886,0.179161372,0.712369731,0.518696752,0.032283915,0.954962891,0.052463978,0.109677419,0.033238027,0.03111588,0.245326025,0
1620,0.699939769,0.523295565,0.791740101,0.740001325,0.79491727,0.12007873,0.270812731,0.11361621,0.556044903,0.423295555,0.178506375,0.699939769,0.570096894,0.043692161,0.929285441,0.053321563,0.109677419,0.028949249,0.026824034,0.3382787,0
1621,0.716494484,0.592128931,0.780231913,0.724078326,0.884943078,0.223954502,0.221643254,0.093747945,0.677897838,0.509944669,0.178785287,0.716494484,0.503097101,0.030739381,0.98152577,0.056196204,0.109677419,0.027877055,0.025751073,0.301769437,0
1622,0.743680456,0.478141712,0.803298674,0.745815523,0.846713617,0.164272665,0.122686164,0.034558096,0.652377494,0.442747444,0.179047619,0.743680456,0.575816975,0.036370042,0.929285441,0.073333891,0.109677419,0.02501787,0.022889843,0.393819927,0
1623,0.712715364,0.527532016,0.792375949,0.739059492,0.843095115,0.167787618,0.132822292,0.034049887,0.602189857,0.431676565,0.179278231,0.712715364,0.708490859,0.039002347,0.880415455,0.072658881,0.109677419,0.038956397,0.03683834,0.25464325,0
1624,0.725545431,0.447886677,0.787870334,0.742862878,0.796084569,0.118235598,0.121747096,0.031084608,0.596921862,0.412148121,0.178936605,0.725545431,0.673334904,0.081022371,0.929285441,0.061207975,0.109677419,0.033238027,0.03111588,0.29776719,0
1625,0.72350281,0.187595511,0.718543483,0.703409581,0.728460171,0.093666144,0.083543602,0.010301443,0.597089354,0.164212772,0.682952183,0.72350281,0.651911178,0.066161791,0.98152577,0.241149558,0.316129032,0.31915654,0.312947067,0.092981859,0
1626,0.737720922,0.406992221,0.76476527,0.770812626,0.817821952,0.110258395,0.109326091,0.016997742,0.631715723,0.490921292,0.714904679,0.737720922,0.519656932,0.038138982,0.834599844,0.154244096,0.006451613,0.086847748,0.086909871,0.209938945,0
1627,0.742730354,0.338274346,0.770728722,0.729954022,0.820809281,0.155639246,0.059524955,0.004680424,0.677712954,0.456743159,0.651324965,0.742730354,0.752445118,0.101899289,0.98152577,0.147887883,0.350537634,0.039313796,0.032188841,0.477176926,0
1628,0.675657564,0.663783776,0.819046769,0.582329001,0.841204995,0.328917105,0.068367041,0.006692101,0.750145365,0.6138983,0.816420664,0.675657564,0.555453541,0.031463737,0.954962891,0.149476937,0.006451613,0.187276626,0.187410587,0.157883837,0
1629,0.237674449,0.523232728,0.209758675,0.159861064,0.370116434,0.311256741,0.043460282,0.002259204,0.851532841,0.768056922,0.172380952,0.237674449,0.670879705,0.053009618,0.954962891,0.761300937,0.006451613,0.245889921,0.246065808,0.315568155,0
1630,0.757361663,0.497514804,0.811301831,0.734694864,0.894500146,0.222185584,0.044615012,0.002760409,0.755747388,0.582289419,0.932357043,0.757361663,0.508620494,0.030659689,0.98152577,0.297653204,0.006451613,0.308077198,0.308297568,0.206076478,0
1631,0.780401149,0.425631811,0.853116652,0.791339778,0.844579861,0.11486855,0.082660595,0.009662123,0.649115213,0.470425746,0.824895771,0.780401149,0.424844689,0.032700205,0.98152577,0.134304421,0.006451613,0.234810579,0.234978541,0.110779975,0
1632,0.743730529,0.460505427,0.812240408,0.782182115,0.80841637,0.089313957,0.098282778,0.013378204,0.641522747,0.490373388,0.777466368,0.743730529,0.591462596,0.033716632,0.98152577,0.139526621,0.006451613,0.241601144,0.241773963,0.09373372,0
1633,0.725871076,0.511166368,0.808961075,0.75602865,0.827585452,0.135100253,0.058349403,0.004260724,0.721740063,0.574506031,0.741980474,0.725871076,0.503012299,0.030263565,0.98152577,0.14172453,0.006451613,0.299142244,0.299356223,0.084710856,0
1634,0.805483679,0.489256519,0.88542578,0.797906083,0.89111206,0.153174567,0.062218105,0.005392118,0.678615633,0.502914891,0.865411437,0.805483679,0.776695304,0.135570429,0.98152577,0.450337674,0.040860215,0.319871337,0.319384835,0.286735818,0
