,meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
0,0.096418598,0.473408557,0.084125252,0.060063288,0.204956307,0.254827554,0.367853059,0.208279308,0.635797557,0.564525716,0,0.096418598,0.157706341,0.030500773,0.98152577,0,0.006451613,0,0,0,1
1,0.125828039,0.505074648,0.116899775,0.07763536,0.215682998,0.246960982,0.644278618,0.483765892,0.630964213,0.591578405,0,0.125828039,0.287641598,0.031140209,0.834599844,0.00040745,0.006451613,0.002144389,0.002145923,0.056448993,1
2,0.179222164,0.675535813,0.102872692,0.034284399,0.385912467,0.457148089,0.88525529,0.782274946,0.442737702,0.548382009,0,0.179222164,0.236945495,0.030263565,0.954962891,6.02E-05,0.006451613,0.000357398,0.000357654,0.049885156,1
3,0.528260905,0.554610901,0.587559087,0.389906438,0.715802312,0.4073582,0.031549409,0.001612825,0.923260975,0.856457074,0.299564947,0.528260905,0.183442131,0.041287262,0.834599844,0.065658795,0.006451613,0.025375268,0.025393419,0.265042838,1
4,0.452195205,0.627209322,0.454272494,0.317627216,0.707515407,0.474473766,0.027742484,0.001732452,0.958735641,0.926348021,0.372362151,0.452195205,0.279190452,0.036828656,0.929285441,0.2389936,0.006451613,0.250536097,0.250715308,0.22338018,1
5,0.441173409,0.63144795,0.432029208,0.274076293,0.722900719,0.534679291,0.051782374,0.004772641,0.922681079,0.870197011,0.401983664,0.441173409,0.299699345,0.037760599,0.857144034,0.098448238,0.006451613,0.124374553,0.124463519,0.134237579,1
6,0.526061431,0.578887218,0.595931501,0.375003481,0.706097573,0.413440753,0.040160743,0.002997254,0.940728326,0.900381714,0.307845745,0.526061431,0.276700603,0.084682398,0.929285441,0.159941658,0.006451613,0.242673338,0.242846924,0.132985102,1
7,0.572113485,0.602658548,0.532916064,0.446358944,0.819942076,0.449670184,0.036300925,0.002063529,0.906544475,0.847309,0.458300238,0.572113485,0.205892609,0.041083943,0.233218354,0.099504997,0.006451613,0.024303074,0.024320458,0.304530822,1
8,0.485813525,0.615573391,0.509941705,0.356013951,0.718544736,0.445258389,0.027701207,0.001530983,0.953672297,0.910746191,0.782511211,0.485813525,0.226085364,0.042109666,0.834599844,0.111416373,0.006451613,0.098641887,0.098712446,0.159026315,1
9,0.448456971,0.639632467,0.441465769,0.304919819,0.689782655,0.470486765,0.030321582,0.002079359,0.972259872,0.952322775,0.041781198,0.448456971,0.276351349,0.049021483,0.904449874,0.112734496,0.023655914,0.214438885,0.214234621,0.096441956,1
